,Positive,Neutral,Negative
0,647,"""Navajo Nation Continues Weekend Lockdown Due to Coronavirus"" by The Associated Press via NYT https://www.nytimes.com/aponline/2020/04/29/us/ap-us-virus-outbreak-navajo-nation.html?partner=IFTTT",1435
1,Mitch McConnell is calling Senators back to Washington on a personal agenda. Not to work on behalf of the American people fighting the coronavirus pandemic. He is calling them back to vote on federal judges appointments. His agenda/ his legacy. ,"Trump's penchant for lying angers me CNBC: Coronavirus testing chief says 'no way on Earth' US can test 5 million a day, despite what Trump says. https://www.cnbc.com/2020/04/29/coronavirus-testing-chief-says-no-way-on-earth-us-can-test-5-million-a-day.html via @GoogleNews",REAL PEOPLE ARE GETTING SICK AND DYING OF CORONAVIRUS #TheResistance #Resist #impeachMF #edinburgh #WeThePeopleMarch #NotMyPresident #RemoveTrump #AllRoadsLeadToPutin #TakeItBack #SchoolStrike4Climate #ClimateStrike #ExtinctionRebellion #RebelForLife #ppenow #TrumpResign
2,Whose coronavirus strategy worked best? Scientists hunt most effective policies https://www.nature.com/articles/d41586-020-01248-1 via @nature cc @quinteroposada,Coronavirus: Medical cannabis access eased amid lockdown #MedicalMarijuana #CannabisCommunity #UnitedKingdom,"""55% of respondents said their mental health is suffering because of the coronavirus outbreak"": "
3,"However, as someone about to give birth, I know I won't feel comfortable going still for some time now. I just wonder when the threat of coronavirus will fade to a level when the bishops say - ok, y'all must go back now.",Gov. Jared Polis on Wednesday outlined how Colorado will ramp up its coronavirus testing as the state transitions away from a rigid stay-at-home order ,Germany avoids the worst of coronavirus crisis — but how? 
4,Approval for Trump's handling of coronavirus drops 10 points: poll https://thehill.com/homenews/administration/495177-approval-rating-of-trumps-handling-of-coronavirus-drops-10-points #msnbc #inners,Keep track of the Coronavirus numbers - ,"Federal Judge Smacks Down Mnuchin, Rules Coronavirus Funding Is for Tribal Governments and Not Corporations https://lawandcrime.com/covid-19-pandemic/federal-judge-smacks-down-mnuchin-rules-coronavirus-funding-is-for-tribal-governments-and-not-corporations/ via @lawcrimenews"
5,Us Truckers are enjoying the open roads ! #TruckDrivers #StayAtHomeAndStaySafe #Lockdown #CoronaVirus #COVID19,"#MassMurderer #realDonaldTrump's Coronavirus FAILURE is deadlier than any flu since 1967 as American Deaths top 60,000 @SenCoryGardner and @RepDLamborn say The #GOP State will never provide Affordable Healthcare For Americans or a Universal Basic Income",Florida medical examiners were releasing coronavirus death data. The state made them stop. 
6,Keep the #hustle going y'all. Not a bad idea for this warm weather. Support your #LocalBusinessOwners every chance you get. Happy #HumpDay my peeps. #ShelterInPlace #ItIsWhatItIs #quarantine #CoronaVirus #covid19… https://www.instagram.com/p/B_lRiDGgWZG/?igshid=16zr8m2cp57ol,"Trump Forces Media To Watch Their Own Coronavirus Failures, Video Broadcast to Nation ","That’s whataboutism Jack. Abortion has nothing to do with 60,495 Americans dying of coronavirus. The fake pro-life MAGATS keep bringing up abortion while saying it’s ok for older people to die. And trump claims to be pro-life simply to get your votes."
7,"So, in other words and perspective, 0.003% of voters/workers tested positive for the coronavirus. Sounds like the vote by mail leftists' fanatics were wrong once again! via @ABC",Big commercial labs given priority for coronavirus testing equipment by feds https://www.cnn.com/2020/04/28/politics/testing-coronavirus-hospitals-commercial-labs-invs/index.html,"The coronavirus pandemic is steeped in uncertainty, confusion, shifting information, and muddled messages. Here’s a guide to cutting through it all, from @edyong209:"
8,"Women academics seem to be submitting fewer papers during coronavirus. ‘Never seen anything like it,’ says one editor. ","I can’t believe this needs to be said, but when you’re in public, the mask goes OVER your mouth AND nose. When you’re in the car or in private, do as you like. #coronavirus","Tragedy is non-essential reality show TV star who became president One who DID NOT read his Intel briefing book in Jan or Feb and start preparation defense against Coronavirus now 61,000+ souls are dead His idolaters have blood on their hands too Pity them on judgement day"
9,If Trump wasn't president and not rich....people would think he was the raging old coot on the nursing home wing. and if he were in the nursing home wing.. what would be his odds in view of Coronavirus?,"COVID-19: Massachusetts Governor Extends Non-Essential Business Closures to May 18, 2020 http://ow.ly/joER30qBRsa @PierceAtwoodLLP #Coronavirus #PublicHealth","ESPECIALLY a non-essential reality show TV star who became president One who DID NOT read his Intel briefing book in Jan or Feb and start preparation defense against Coronavirus now 61,000+ souls are dead His idolaters have blood on their hands too Pity them on judgement day"
