,Positive,Neutral,Negative
0,72,"As of 04/29/2020...The novel coronavirus has now killed more than 60,000 Americans The photo is 03/31 !! ",20
1,"FDA approves Remdesivir New data suggests patients with severe Covid-19 who took #remdesivir could recover faster than patients who didn't take it, the National Institute of Allergy and Infectious Diseases said. #coronavirus #COVID19","Tobacco, vaping industries seize opportunities in coronavirus with freebies, donations ",#coronavirus #twitter Trump still seems to not understand how bad the coronavirus crisis is 
2,beyond ready for this coronavirus sht to go away,First Friday is Back! Hell Yeah!!!! #firstfriday #lazymagnolia #lazymagnoliabrewery #beer #craftbeer #taproom #theporch #cheersyall #dosomethinglazy #mscoastlife #drinkms #cheers #craftbrew #covid19 #coronavirus @… https://www.instagram.com/p/CA1KPAKp7SI/?igshid=18400s1e7ycel,"First a lockdown to kill the economy, then bullshit ""limitations"" telling people how to safely live our lives. Pretty sure that's not legal. It's time to vote out every piece of garbage that locked down their states KNOWING #coronavirus was not a big deal! "
3,"'Clear-cut' evidence coronavirus drug remdesivir works, Fauci says https://www.nbcnews.com/health/health-news/coronavirus-drug-remdesivir-shows-promise-large-trial-n1195171 via @nbcnews",so y'all basically just saying fuck coronavirus with all this rioting and shit ,"A third of Americans now show signs of clinical anxiety or depression, Census Bureau finds amid coronavirus pandemic https://wapo.st/3gzXb5i #mentalhealth #COVID19"
4,Second day with over 400 coronavirus cases. We've jumped from around 200/day to over 400/day. Mission accomplished?,"If you have covered a game in the Tad Pad, you are already immune to the coronavirus.","Ok so if you’re tweeting about how great the protests with thousands of people in attendance are, please don’t tweet a pic of a pool party and complain about the spread coronavirus"
5,"Nothing better than reading “The Stand” right now. What’s up, Coronavirus?",Elizabeth Warren blames Trump for disease outbreaks like coronavirus ,https://ift.tt/2TTo8XI Court Rejects Challenge to Coronavirus Limits on Church Services 
6,Coronavirus. Yeah my work email is blowing up over it. I wonder if that’s what I got at Disney world. One “reported” case. I’ve felt like death for a month,Liberals Have A New Boogie Man To Blame The Coronavirus On https://rightwingupdates.com/liberals-have-a-new-boogie-man-to-blame-the-coronavirus-on/ via @Right Wing Updates,Corona Virus gone just for the protests or does it come back after yall go home?
7,Televangelist Jim Bakker Claims His Magic ‘Silver Solution’ Cures Coronavirus | Michael Stone https://www.patheos.com/blogs/progressivesecularhumanist/2020/02/televangelist-jim-bakker-claims-his-magic-silver-solution-cures-coronavirus/ …,A Woman Gave Her Husband Coronavirus In The First US Transmission Of The Disease ,"Coronavirus Outbreak: Live Updates for Jan. 31, 2020 - Bloomberg "
8,"Just getting into good hygiene habits, like frequently washing your hands, especially before eating, blowing your nose, or anything else that requires you touch your face...will be your best defense against #coronavirus, #flu, or even the #commoncold.https://twitter.com/annaonair12/status/1233533438776487937 …","Covid19: the new Zika, bird flu, swine flu, ect. ",World Health Organization declares coronavirus 'public health emergency of international concern': https://www.wapt.com/article/world-health-organization-declares-coronavirus-public-health-emergency-of-international-concern/30718537 #16WAPT
9,"https://blogs.scientificamerican.com/observations/preparing-for-coronavirus-to-strike-the-u-s/?amp;text=Preparing … for Coronavirus to Strike the U.S. via @sciam 
Excellent summary of a measured, intelligent response to a serious issue. Physicians must lead with facts and science, not unbridled emotion as so many in the media love to do.","The CDC said Friday it would begin the screening immediately for 2019 novel coronavirus.
https://www.wdam.com/2020/01/17/us-screen-airline-passengers-central-china-new-illness/?utm_medium=social&utm_source=twitter_wdam …","Having a newborn in the peak of flu season, and during this Coronavirus outbreak, is this moms worst nightmare."
